Country,TOPSIS equal preference value,TOPSIS equal rank,TOPSIS entropy preference value,TOPSIS entropy rank,COMET preference value,COMET rank
A1,0.1057,15,0.1088,15,0.1791,15
A2,0.0587,20,0.0544,20,0.1023,20
A3,0.1258,14,0.1146,14,0.1977,14
A4,0.1431,13,0.1276,13,0.2609,13
A5,1,1,1,1,1,1
A6,0.0296,27,0.0247,27,0.04,27
A7,0.0741,18,0.0674,18,0.1474,17
A8,0.4253,5,0.4302,5,0.6186,6
A9,0.7414,2,0.737,2,0.7892,2
A10,0.0549,21,0.0482,21,0.1001,21
A11,0.0378,25,0.0412,22,0.0656,24
A12,0.6357,3,0.6236,3,0.7382,3
A13,0.0044,29,0.004,29,0.006,29
A14,0.046,22,0.0388,24,0.0701,23
A15,0.0443,23,0.0375,25,0.0611,25
A16,0.0147,28,0.0172,28,0.0097,28
A17,0.0934,17,0.0852,17,0.1258,19
A18,0.0009,30,0.0011,30,0,30
A19,0.0983,16,0.1017,16,0.1679,16
A20,0.2805,9,0.2716,8,0.465,8
A21,0.2379,10,0.2137,10,0.365,10
A22,0.1487,12,0.1422,12,0.2999,12
A23,0.1685,11,0.1525,11,0.3147,11
A24,0.0298,26,0.0264,26,0.0552,26
A25,0.0388,24,0.0394,23,0.0703,22
A26,0.298,8,0.2559,9,0.4274,9
A27,0.5519,4,0.5317,4,0.6775,4
A28,0.3991,6,0.4264,6,0.5491,7
A29,0.0617,19,0.0603,19,0.1352,18
A30,0.3836,7,0.3935,7,0.6347,5
